ID,Nombre,Sprint,Semana,Fecha_Inicio,Fecha_Fin,Duracion_Dias,Prioridad,Estado,Dominio,CTO_Gate,Dependencias,Asignado,Criterio_Aceptacion,Riesgo,Entregable,Story_Points
CE-S2-011,Setup Next.js 14 + Tailwind + shadcn/ui,Sprint 2,Semana 2,2026-01-10,2026-01-10,1,P0,Pendiente,Frontend,N/A,Ninguna,Frontend Lead,Proyecto configurado componentes base app renderiza,Bajo,apps/web/,2
CE-S2-012,GitHub Actions CI Completo,Sprint 2,Semana 2,2026-01-09,2026-01-09,1,P0,Completado,DevOps,N/A,Ninguna,DevOps,Lint/test/build cada PR bloqueados sin CI verde,Bajo,.github/workflows/ci.yml,2
CE-S2-013,Auto-deploy Staging on Merge Main,Sprint 2,Semana 2,2026-01-10,2026-01-10,0.5,P0,Completado,DevOps,N/A,CE-S2-012,DevOps,Railway + Vercel webhooks merge deploy <5 min,Bajo,.github/workflows/deploy-staging.yml,1
CE-S2-014,Benchmark Baseline Endpoints,Sprint 2,Semana 2,2026-01-11,2026-01-11,0.5,P1,Completado,Performance,N/A,Ninguna,Backend Lead,Latencia P50/P95/P99 métricas baseline documentadas,Bajo,docs/performance/baseline.md,1
CE-S2-015,Golden Dataset v1.0 (10 proyectos),Sprint 2,Semana 2,2026-01-09,2026-01-10,2,P0,Completado,Testing,Gate 5,Ninguna,QA Lead,10 proyectos sintéticos anotados README incluido,Medio,tests/golden/,3
CE-S2-016,Tests Regresión Accuracy CI,Sprint 2,Semana 2,2026-01-11,2026-01-11,1,P0,Completado,Testing,Gate 5,CE-S2-015,QA Lead,CI compara accuracy vs baseline falla si <85%,Medio,tests/accuracy/,2
CE-S3-001,Parser PDF con PyMuPDF,Sprint 3,Semana 3,2026-01-13,2026-01-15,3,P0,Pendiente,Backend,Gate 4,Ninguna,Backend Lead,Extracción texto posiciones offsets 10 PDFs test,Medio,apps/api/src/parsers/pdf_parser.py,5
CE-S3-002,Parser Excel con openpyxl,Sprint 3,Semana 3,2026-01-13,2026-01-14,2,P0,Pendiente,Backend,Gate 4,Ninguna,Backend Lead,Lectura cronogramas presupuestos formatos estándar,Bajo,apps/api/src/parsers/excel_parser.py,3
CE-S3-003,Parser BC3 con pyfiebdc,Sprint 3,Semana 3,2026-01-15,2026-01-16,2,P0,Pendiente,Backend,Gate 4,Ninguna,Backend Lead,Partidas presupuestarias españolas BC3 100%,Medio,apps/api/src/parsers/bc3_parser.py,3
CE-S3-004,Anonymizer Service PII,Sprint 3,Semana 3,2026-01-16,2026-01-17,2,P0,Pendiente,Security,Gate 8,CE-S3-001,Security Lead,Detección hash DNI/email/teléfono/IBAN 0 PII Claude,Alto,apps/api/src/services/anonymizer.py,3
CE-S3-005,ClauseExtractorAgent,Sprint 3,Semana 3,2026-01-15,2026-01-16,2,P0,Pendiente,AI,Gate 4,CE-S3-001,AI Lead,Extracción cláusulas IDs estables únicos documento,Alto,apps/api/src/agents/clause_extractor.py,5
CE-S3-006,Task Queue Celery/Redis,Sprint 3,Semana 3,2026-01-13,2026-01-14,2,P0,Pendiente,Infrastructure,Gate 7,CE-S2-004,DevOps,Jobs async parsing coherence 100 pág no bloquea,Medio,apps/api/src/tasks/,3
CE-S3-007,Endpoint GET /projects/{id}/coherence-score,Sprint 3,Semana 3,2026-01-14,2026-01-14,0.5,P0,Pendiente,API,Gate 5,CE-S2-001,Backend Lead,Response schema validado score + breakdown,Bajo,apps/api/src/routers/projects.py,1
CE-S3-008,Endpoints CRUD /projects,Sprint 3,Semana 3,2026-01-14,2026-01-15,1,P0,Pendiente,API,N/A,CE-S2-001,Backend Lead,List/Get/Create/Update/Delete tests integración,Bajo,apps/api/src/routers/projects.py,2
CE-S3-009,Health Check Endpoints,Sprint 3,Semana 3,2026-01-13,2026-01-13,0.5,P0,Pendiente,DevOps,N/A,Ninguna,DevOps,/health /ready /live UptimeRobot configurado,Bajo,apps/api/src/routers/health.py,1
CE-S3-010,Secrets Management GitHub,Sprint 3,Semana 3,2026-01-14,2026-01-14,1,P0,Pendiente,DevOps,Gate 8,Ninguna,DevOps,Separación secrets entorno 0 secrets código,Bajo,.github/workflows/,1
CE-S3-011,Tests Integración Parsers,Sprint 3,Semana 3,2026-01-17,2026-01-17,1,P0,Pendiente,Testing,N/A,CE-S3-001;CE-S3-002;CE-S3-003,QA Lead,Tests archivos reales PDF/Excel/BC3 10 correctos,Medio,tests/integration/parsers/,2
CE-S3-012,Propagar clause_id a Stakeholders,Sprint 3,Semana 3,2026-01-16,2026-01-16,1,P0,Pendiente,Backend,Gate 4,CE-S3-005,Backend Lead,source_clause_id populated 100% stakeholders FK,Medio,apps/api/src/services/stakeholder_service.py,2
CE-S4-001,AI Service + Claude API Integration,Sprint 3,Semana 4,2026-01-20,2026-01-21,2,P0,Pendiente,AI,Gate 5,CE-S2-007,AI Lead,Extracción funciona llamadas logueadas retry,Alto,apps/api/src/ai/ai_service.py,3
CE-S4-002,Cost Controller Budget,Sprint 3,Semana 4,2026-01-20,2026-01-20,1,P0,Pendiente,AI,Gate 7,CE-S4-001,AI Lead,Bloquea LLM exceder budget alertas 50/75/90/100%,Alto,apps/api/src/ai/cost_controller.py,2
CE-S4-003,WBSGeneratorAgent,Sprint 3,Semana 4,2026-01-21,2026-01-22,2,P0,Pendiente,AI,Gate 5,CE-S4-001,AI Lead,WBS 4 niveles contrato requires_approval=True,Alto,apps/api/src/agents/wbs_generator.py,5
CE-S4-004,BOMBuilderAgent,Sprint 3,Semana 4,2026-01-22,2026-01-23,2,P0,Pendiente,AI,Gate 5,CE-S4-001;CE-S4-003,AI Lead,BOM lead times WBS contract_clause_id populated,Alto,apps/api/src/agents/bom_builder.py,5
CE-S4-005,Implementar 8 Reglas Coherencia Restantes,Sprint 3,Semana 4,2026-01-21,2026-01-24,4,P0,Pendiente,AI,Gate 5,CE-S4-003;CE-S4-004,AI Lead,R2/R6/R11/R12/R14/R15/R19/R20 10/10 reglas tests,Alto,apps/api/src/coherence/rules/,8
CE-S4-006,AlertGenerator con Evidencias,Sprint 3,Semana 4,2026-01-23,2026-01-23,1,P0,Pendiente,AI,Gate 5,CE-S4-005,AI Lead,Alertas source_clause_id affected_ids evidence_json,Medio,apps/api/src/coherence/alert_generator.py,2
CE-S4-007,Calibrar Coherence Score 10 Reglas,Sprint 3,Semana 4,2026-01-24,2026-01-24,1,P0,Pendiente,AI,Gate 5,CE-S4-005;CE-S2-015,AI Lead,Score correlaciona >0.85 evaluación experta,Alto,scripts/run_calibration.py,2
CE-S4-008,Documentar Fórmula Score Auditoría,Sprint 3,Semana 4,2026-01-24,2026-01-24,0.5,P0,Pendiente,Documentation,Gate 5,CE-S4-007,AI Lead,scoring_methodology_v1.md pesos finais CTO aprueba,Bajo,docs/coherence_engine/scoring_methodology_v1.md,1
CE-S4-009,Endpoints /projects/{id}/alerts,Sprint 3,Semana 4,2026-01-22,2026-01-22,1,P0,Pendiente,API,Gate 4,CE-S2-001,Backend Lead,List filtros/Get/Resolve incluye source_clause_id,Bajo,apps/api/src/routers/alerts.py,2
CE-S4-010,Endpoints /projects/{id}/documents,Sprint 3,Semana 4,2026-01-22,2026-01-22,1,P0,Pendiente,API,N/A,CE-S2-001;CE-S3-006,Backend Lead,Upload async status polling List/Get/Delete,Bajo,apps/api/src/routers/documents.py,2
CE-S4-011,Script Rollback Automatizado,Sprint 3,Semana 4,2026-01-21,2026-01-21,1,P0,Pendiente,DevOps,N/A,Ninguna,DevOps,Rollback DB PITR + código git revert staging,Medio,scripts/rollback.sh,2
CE-S4-012,Paginación Cursor-based Endpoints,Sprint 3,Semana 4,2026-01-23,2026-01-23,1,P0,Pendiente,API,N/A,CE-S3-008,Backend Lead,Ningún endpoint >100 items sin paginar,Bajo,apps/api/src/core/pagination.py,2
CE-S4-013,Optimizar Queries SQL EXPLAIN,Sprint 3,Semana 4,2026-01-24,2026-01-24,1,P1,Pendiente,Performance,N/A,Ninguna,Backend Lead,Queries lentas optimizadas 0 queries >100ms,Medio,docs/performance/sql_optimization.md,2
CE-S4-014,Índices Adicionales Búsqueda,Sprint 3,Semana 4,2026-01-24,2026-01-24,0.5,P1,Pendiente,Database,N/A,CE-S4-013,Backend Lead,Índices campos filtro queries búsqueda <50ms,Bajo,infrastructure/supabase/migrations/007_indexes.sql,1
CE-S4-015,Tests Integración Coherence Engine,Sprint 3,Semana 4,2026-01-24,2026-01-24,1,P0,Pendiente,Testing,Gate 5,CE-S4-005;CE-S2-015,QA Lead,Tests projetos golden 10 reglas correctas,Medio,tests/integration/coherence/,2
CE-S5-001,StakeholderExtractorAgent,Sprint 4,Semana 5,2026-01-27,2026-01-29,3,P0,Pendiente,AI,Gate 5,CE-S4-001,AI Lead,Extracción NLP nombres/roles >80% accuracy golden,Alto,apps/api/src/agents/stakeholder_extractor.py,5
CE-S5-002,StakeholderClassifier Power/Interest,Sprint 4,Semana 5,2026-01-28,2026-01-28,1,P0,Pendiente,AI,Gate 5,CE-S5-001,AI Lead,Cuadrante asignado automáticamente 4 cuadrantes,Medio,apps/api/src/services/stakeholder_classifier.py,2
CE-S5-003,RACIGeneratorAgent,Sprint 4,Semana 5,2026-01-29,2026-01-30,2,P0,Pendiente,AI,Gate 6,CE-S5-001;CE-S4-003,AI Lead,Matriz RACI generada requires_review=True,Alto,apps/api/src/agents/raci_generator.py,5
CE-S5-004,Human-in-Loop Workflow Backend,Sprint 4,Semana 5,2026-01-27,2026-01-28,2,P0,Pendiente,Backend,Gate 6,CE-S2-001,Backend Lead,Endpoint aprobar/rechazar outputs agentes,Alto,apps/api/src/routers/approvals.py,3
CE-S5-005,Knowledge Graph Básico NetworkX,Sprint 4,Semana 5,2026-01-30,2026-01-31,2,P1,Pendiente,Backend,Gate 4,CE-S4-003,Backend Lead,Nodos + edges queries multi-hop funcionan,Medio,apps/api/src/services/knowledge_graph.py,3
CE-S5-006,Prompt Extracción Cláusulas Optimizado,Sprint 4,Semana 5,2026-01-27,2026-01-28,2,P0,Pendiente,AI,Gate 5,CE-S2-008,AI Lead,>85% accuracy tipo/código/texto golden dataset,Alto,prompts/v1/clause_extraction.md,3
CE-S5-007,Prompt Clasificación Stakeholders,Sprint 4,Semana 5,2026-01-29,2026-01-29,1,P0,Pendiente,AI,Gate 5,CE-S2-008,AI Lead,>80% accuracy clasificación poder/interés,Medio,prompts/v1/stakeholder_classification.md,2
CE-S5-008,LlmRuleEvaluator Base Class,Sprint 4,Semana 5,2026-01-28,2026-01-28,1,P0,Pendiente,AI,Gate 5,CE-S2-007,AI Lead,Evaluador prompts reglas cualitativas interface,Medio,apps/api/src/coherence/llm_rule_evaluator.py,2
CE-S5-009,Primera Regla LLM Cualitativa,Sprint 4,Semana 5,2026-01-29,2026-01-30,2,P1,Pendiente,AI,Gate 5,CE-S5-008,AI Lead,Regla detectar ambigüedades alcance evaluable,Alto,apps/api/src/coherence/rules/scope_ambiguity.py,3
CE-S5-010,Endpoints /projects/{id}/stakeholders,Sprint 4,Semana 5,2026-01-28,2026-01-28,1,P0,Pendiente,API,Gate 4,CE-S2-003,Backend Lead,CRUD + clasificación source_clause_id,Bajo,apps/api/src/routers/stakeholders.py,2
CE-S5-011,Endpoints /projects/{id}/raci,Sprint 4,Semana 5,2026-01-29,2026-01-29,0.5,P0,Pendiente,API,Gate 6,CE-S2-003,Backend Lead,Get matrix/Update human-in-loop flag,Bajo,apps/api/src/routers/raci.py,1
CE-S5-012,Dashboard Observabilidad Básico,Sprint 4,Semana 5,2026-01-27,2026-01-28,2,P0,Pendiente,Frontend,Gate 7,CE-S2-011,Frontend Lead,Vista consumo tokens alertas automáticas budget,Medio,apps/web/src/pages/admin/observability.tsx,3
CE-S5-013,Rate Limiting por Tenant Redis,Sprint 4,Semana 5,2026-01-30,2026-01-30,1,P0,Pendiente,Security,Gate 7,CE-S2-004,Security Lead,60 req/min tenant 20 req/min user configurable,Medio,apps/api/src/middleware/rate_limiter.py,2
CE-S5-014,Budget Alerts Email/Webhook,Sprint 4,Semana 5,2026-01-31,2026-01-31,1,P0,Pendiente,Backend,Gate 7,CE-S4-002,Backend Lead,Notificaciones admin 50/75/90/100% budget,Medio,apps/api/src/services/budget_alerts.py,2
CE-S5-015,Tests Integración Stakeholder Flow,Sprint 4,Semana 5,2026-01-31,2026-01-31,1,P0,Pendiente,Testing,Gate 5,CE-S5-001;CE-S5-003,QA Lead,Extracción Clasificación RACI flujo completo,Medio,tests/integration/stakeholders/,2
CE-S6-001,Vista Dashboard + Score Gauge,Sprint 4,Semana 6,2026-02-02,2026-02-03,2,P0,Pendiente,Frontend,Gate 6,CE-S3-007,Frontend Lead,Score 0-100 visual colores carga <2s gauge animado,Medio,apps/web/src/pages/dashboard.tsx,3
CE-S6-002,Vista Lista Proyectos,Sprint 4,Semana 6,2026-02-02,2026-02-02,1,P0,Pendiente,Frontend,N/A,CE-S3-008,Frontend Lead,Filtros estado/búsqueda/orden paginación,Bajo,apps/web/src/pages/projects/index.tsx,2
CE-S6-003,Evidence Viewer Links Cláusulas,Sprint 4,Semana 6,2026-02-03,2026-02-04,2,P0,Pendiente,Frontend,Gate 4,CE-S4-009,Frontend Lead,Click alerta cláusula WBS/BOM navegación bidireccional,Alto,apps/web/src/components/EvidenceViewer.tsx,5
CE-S6-004,Panel Alertas Filtros Severidad,Sprint 4,Semana 6,2026-02-04,2026-02-04,1,P0,Pendiente,Frontend,N/A,CE-S6-003,Frontend Lead,Vista alertas abiertas/resolved filtros bulk actions,Bajo,apps/web/src/pages/alerts.tsx,2
CE-S6-005,Stakeholder Map Matriz Poder/Interés,Sprint 4,Semana 6,2026-02-04,2026-02-05,2,P0,Pendiente,Frontend,Gate 6,CE-S5-010,Frontend Lead,Visualización interactiva cuadrantes drag & drop,Medio,apps/web/src/components/StakeholderMap.tsx,3
CE-S6-006,RACI Viewer Editable,Sprint 4,Semana 6,2026-02-05,2026-02-05,1,P0,Pendiente,Frontend,Gate 6,CE-S5-011,Frontend Lead,Tabla WBS x Stakeholders RACI edición inline,Medio,apps/web/src/components/RACIViewer.tsx,2
CE-S6-007,Modal Human-in-Loop Confirmación,Sprint 4,Semana 6,2026-02-05,2026-02-05,0.5,P0,Pendiente,Frontend,Gate 6,CE-S5-004,Frontend Lead,Confirmación aprobar/rechazar outputs IA workflow,Medio,apps/web/src/components/ApprovalModal.tsx,1
CE-S6-008,Endpoints /projects/{id}/wbs y /bom,Sprint 4,Semana 6,2026-02-02,2026-02-02,1,P0,Pendiente,API,Gate 4,CE-S2-003,Backend Lead,CRUD WBS/BOM jerarquía WBS representada,Bajo,apps/api/src/routers/wbs.py,2
CE-S6-009,Endpoint POST /projects/{id}/analyze,Sprint 4,Semana 6,2026-02-03,2026-02-03,1,P0,Pendiente,API,N/A,CE-S3-006,Backend Lead,Trigger análisis async retorna job_id polling,Bajo,apps/api/src/routers/analysis.py,2
CE-S6-010,Propagar clause_id a WBS Items,Sprint 4,Semana 6,2026-02-02,2026-02-02,1,P0,Pendiente,Backend,Gate 4,CE-S3-005,Backend Lead,funded_by_clause_id auto 100% WBS con FK,Medio,apps/api/src/services/wbs_service.py,2
CE-S6-011,Propagar clause_id a BOM Items,Sprint 4,Semana 6,2026-02-03,2026-02-03,1,P0,Pendiente,Backend,Gate 4,CE-S3-005,Backend Lead,contract_clause_id auto 100% BOM con FK,Medio,apps/api/src/services/bom_service.py,2
CE-S6-012,Evidence Viewer Logic Query,Sprint 4,Semana 6,2026-02-04,2026-02-04,1,P0,Pendiente,Backend,Gate 4,CE-S6-010;CE-S6-011,Backend Lead,Query reconstruye clause WBS BOM dado alert_id,Medio,apps/api/src/services/evidence_service.py,2
CE-S6-013,Graph RAG Service Abstracción,Sprint 4,Semana 6,2026-02-03,2026-02-04,2,P1,Pendiente,Backend,N/A,CE-S5-005,Backend Lead,Interface GraphStore impl NetworkX tests mock,Medio,apps/api/src/services/graph_store.py,3
CE-S6-014,Circuit Breaker Claude API,Sprint 4,Semana 6,2026-02-05,2026-02-05,1,P1,Pendiente,Backend,Gate 7,CE-S2-004,Backend Lead,Retry backoff fallback caché API degradada ok,Medio,apps/api/src/ai/circuit_breaker.py,2
CE-S6-015,Async Processing Parsing Background,Sprint 4,Semana 6,2026-02-05,2026-02-05,1,P0,Pendiente,Backend,N/A,CE-S3-006,Backend Lead,Parsing background polling status upload inmediato,Bajo,apps/api/src/tasks/parsing_tasks.py,2
CE-S7-001,Cifrado Documentos R2 AES-256,Sprint 5,Semana 7,2026-02-09,2026-02-09,1,P0,Pendiente,Security,Gate 8,Ninguna,Security Lead,Server-side encryption keys tenant docs cifrados,Alto,apps/api/src/storage/encryption.py,2
CE-S7-002,Política Retención Soft Delete,Sprint 5,Semana 7,2026-02-09,2026-02-09,1,P0,Pendiente,Security,Gate 8,Ninguna,Security Lead,Soft delete hard delete 30 días job limpieza,Medio,apps/api/src/tasks/retention_job.py,2
CE-S7-003,Auto-block Degradación Graceful,Sprint 5,Semana 7,2026-02-10,2026-02-10,1,P0,Pendiente,Backend,Gate 7,CE-S4-002,Backend Lead,Bloquear LLM 100% budget sistema sigue sin IA,Alto,apps/api/src/ai/budget_blocker.py,2
CE-S7-004,Optimizar Prompts Reducir Tokens,Sprint 5,Semana 7,2026-02-10,2026-02-11,2,P1,Pendiente,AI,Gate 7,CE-S2-008,AI Lead,Few-shot reducido 20% reducción tokens promedio,Medio,prompts/v1/,3
CE-S7-005,Dashboard Costes por Proyecto,Sprint 5,Semana 7,2026-02-11,2026-02-11,1,P1,Pendiente,Frontend,Gate 7,CE-S5-012,Frontend Lead,Breakdown costes operación/modelo coste real-time,Bajo,apps/web/src/components/CostDashboard.tsx,2
CE-S7-006,Batch Processing Múltiples Docs,Sprint 5,Semana 7,2026-02-11,2026-02-11,1,P1,Pendiente,Backend,Gate 7,CE-S3-006,Backend Lead,3 docs <3x individual descuento contexto,Medio,apps/api/src/tasks/batch_processing.py,2
CE-S7-007,Prompt Generación RACI,Sprint 5,Semana 7,2026-02-10,2026-01-10,1,P1,Pendiente,AI,Gate 5,CE-S2-008,AI Lead,Mapeo stakeholder WBS razonamiento RACI coherente,Medio,prompts/v1/raci_generation.md,2
CE-S7-008,A/B Testing Prompts Framework,Sprint 5,Semana 7,2026-01-12,2026-01-12,1,P2,Pendiente,AI,N/A,CE-S2-008,AI Lead,Framework comparar versiones métricas auto,Bajo,apps/api/src/ai/ab_testing.py,2
CE-S7-009,Fallback Prompts Edge Cases,Sprint 5,Semana 7,2026-01-12,2026-01-12,1,P1,Pendiente,AI,Gate 5,CE-S5-006;CE-S5-007,AI Lead,Prompts alternativos 0 errores fatales,Medio,prompts/v1/fallbacks/,2
CE-S7-010,Export PDF Trazabilidad,Sprint 5,Semana 7,2026-02-09,2026-02-10,2,P1,Pendiente,Frontend,Gate 4,CE-S6-012,Frontend Lead,Click alerta cláusula WBS/BOM navegación bidireccional,Medio,apps/web/src/utils/pdf_export.ts,3
CE-S7-011,Disclaimer UI Obligatorio,Sprint 5,Semana 7,2026-02-10,2026-02-10,0.5,P0,Pendiente,Frontend,N/A,CE-S6-001,Frontend Lead,Aviso legal visible dashboard PDFs ROADMAP §1.4,Bajo,apps/web/src/components/Disclaimer.tsx,1
CE-S7-012,Validación Integridad Referencial,Sprint 5,Semana 7,2026-02-11,2026-02-11,1,P1,Pendiente,Backend,Gate 4,CE-S6-012,Backend Lead,Job FKs huérfanos alerta <95% entidades FK,Medio,apps/api/src/tasks/integrity_check.py,2
CE-S7-013,OpenAPI Spec Completa + Swagger,Sprint 5,Semana 7,2026-02-12,2026-02-12,0.5,P0,Pendiente,API,N/A,CE-S4-009;CE-S5-010;CE-S6-008,Backend Lead,Documentación auto /docs todos endpoints,Bajo,apps/api/src/main.py,1
CE-S7-014,Versionado API v1/,Sprint 5,Semana 7,2026-02-12,2026-02-12,0.5,P0,Pendiente,API,N/A,Ninguna,Backend Lead,Prefijo /api/v1/ rutas legacy redirigen,Bajo,apps/api/src/routers/__init__.py,1
CE-S7-015,Refactorizar CoherenceEngine Open/Closed,Sprint 5,Semana 7,2026-02-11,2026-02-11,1,P1,Pendiente,Backend,N/A,CE-S4-005,Backend Lead,Plugins reglas sin modificar core,Medio,apps/api/src/coherence/coherence_engine.py,2
CE-S8-001,Deploy Producción Approval Manual,Sprint 5,Semana 8,2026-02-16,2026-02-16,1,P0,Pendiente,DevOps,N/A,CE-S2-013,DevOps,GitHub Environment reviewers deploy prod 2 approvals,Medio,.github/workflows/deploy-prod.yml,2
CE-S8-002,Monitoring Alertas Sentry/Uptime,Sprint 5,Semana 8,2026-02-16,2026-02-16,1,P0,Pendiente,DevOps,Gate 7,CE-S3-009,DevOps,Sentry errores UptimeRobot alertas Slack <1 min,Medio,docs/runbooks/,2
CE-S8-003,Runbooks Troubleshooting,Sprint 5,Semana 8,2026-02-17,2026-02-17,0.5,P1,Pendiente,Documentation,N/A,Ninguna,DevOps,5 runbooks incidentes comunes documentados,Bajo,docs/runbooks/,1
CE-S8-004,Documentar ADRs Pendientes,Sprint 5,Semana 8,2026-02-16,2026-02-16,1,P1,Pendiente,Documentation,N/A,Ninguna,Tech Lead,ADR-009 a ADR-012 decisiones formato estándar,Bajo,docs/adrs/,2
CE-S8-005,Pre-commit Hooks Black/isort/mypy,Sprint 5,Semana 8,2026-02-16,2026-02-16,0.5,P1,Pendiente,DevOps,N/A,Ninguna,DevOps,CI falla si hooks no pasan,Bajo,.pre-commit-config.yaml,1
CE-S8-006,Tests E2E Flujo Análisis Playwright,Sprint 5,Semana 8,2026-02-17,2026-02-18,2,P0,Pendiente,Testing,N/A,CE-S6-009;CE-S6-001,QA Lead,Upload Parse Analyze View Results happy path,Alto,tests/e2e/,3
CE-S8-007,Tests Carga k6 100 Usuarios,Sprint 5,Semana 8,2026-02-18,2026-02-18,1,P0,Pendiente,Testing,N/A,CE-S3-008;CE-S4-009,QA Lead,100 usuarios <1% error P95 <2s,Alto,tests/load/k6_scripts/,2
CE-S8-008,Optimizar Graph RAG Queries,Sprint 5,Semana 8,2026-02-17,2026-02-17,1,P1,Pendiente,Performance,N/A,CE-S6-013,Backend Lead,Limitar traversal caché subgrafos multi-hop <200ms,Medio,apps/api/src/services/graph_store.py,2
CE-S8-009,CDN Assets Estáticos Cloudflare,Sprint 5,Semana 8,2026-02-17,2026-02-17,0.5,P1,Pendiente,DevOps,N/A,Ninguna,DevOps,Assets cacheados TTFB <100ms,Bajo,apps/web/next.config.js,1
CE-S8-010,Tests Casos Borde Parsers,Sprint 5,Semana 8,2026-02-18,2026-02-18,1,P1,Pendiente,Testing,N/A,CE-S3-011,QA Lead,Docs vacíos/malformados/grandes gracefully,Medio,tests/edge_cases/,2
CE-S8-011,Tests Recuperación Fallo Services,Sprint 5,Semana 8,2026-02-18,2026-02-18,1,P1,Pendiente,Testing,N/A,CE-S6-014,QA Lead,Simular fallo DB/Claude/Redis recupera auto,Alto,tests/resilience/,2
CE-S8-012,Aumentar Coverage >80% Critical,Sprint 5,Semana 8,2026-02-17,2026-02-18,2,P0,Pendiente,Testing,N/A,CE-S3-011;CE-S4-015;CE-S5-015,QA Lead,pytest --cov >80% módulos críticos,Medio,tests/,3
CE-S9-001,Security Testing Final,Sprint 6,Semana 9,2026-02-23,2026-02-23,1,P0,Pendiente,Security,Gate 1-8,Ninguna,Security Lead,0 vulns high/critical penetration test MCP,Alto,docs/security/audit_report.md,2
CE-S9-002,AI Accuracy Testing Golden Dataset,Sprint 6,Semana 9,2026-02-23,2026-02-23,1,P0,Pendiente,Testing,Gate 5,CE-S2-015,>85% accuracy extracción golden 50 projetos,Alto,tests/accuracy/final_report.md,2
CE-S9-003,Load Testing Final 100 Usuarios,Sprint 6,Semana 9,2026-02-24,2026-02-24,1,P0,Pendiente,Testing,N/A,CE-S8-007,QA Lead,100 usuarios <1% error confirmado,Alto,docs/performance/load_test_final.md,2
CE-S9-004,Cross-tenant Attack Tests Final,Sprint 6,Semana 9,2026-02-24,2026-02-24,1,P0,Pendiente,Security,Gate 1,CE-S9-001,Security Lead,Todos ataques bloqueados 0 data leaks,Crítico,tests/security/cross_tenant_final.py,2
CE-S9-005,Deploy Producción,Sprint 6,Semana 9,2026-02-25,2026-02-25,1,P0,Pendiente,DevOps,N/A,CE-S8-001,DevOps,Backend Railway Frontend Vercel uptime >99%,Alto,N/A,2
CE-S9-006,Expandir Golden Dataset 50 Proyectos,Sprint 6,Semana 9,2026-02-23,2026-02-25,2,P1,Pendiente,Testing,Gate 5,CE-S2-015,QA Lead,50 projetos anotados calibración final spec,Medio,tests/golden/,3
CE-S9-007,Connection Pooling PostgreSQL,Sprint 6,Semana 9,2026-02-24,2026-02-24,0.5,P1,Pendiente,Database,N/A,Ninguna,Backend Lead,SQLAlchemy pool límites 50 conexiones ok,Bajo,apps/api/src/core/database.py,1
